钊	釗
钋	釙
钌	釕
钍	釷
钎	釺
钏	釧
钐	釤
钑	鈒
钒	釩
钓	釣
钔	鍆
钕	釹
钖	鍚
钗	釵
钘	鈃
钙	鈣
钚	鈈
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钟	鍾 鐘
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰
钦	欽
钧	鈞
钨	鎢
钩	鉤
钪	鈧
钫	鈁
钬	鈥
钭	鈄
钮	鈕
钯	鈀
钰	鈺
钱	錢
钲	鉦
钳	鉗
钴	鈷
钵	鉢
钶	鈳
钷	鉕
钸	鈽
钹	鈸
钺	鉞
钻	鑽
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铇	鉋
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
铎	鐸
铏	鉶
铐	銬
铑	銠
铒	鉺
铓	鋩
铔	錏
铕	銪
铖	鋮
铗	鋏
铘	鋣
铙	鐃
铚	銍
铛	鐺
铜	銅
铝	鋁
铞	銱
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铥	銩
铦	銛
铧	鏵
铨	銓
铩	鎩
铪	鉿
铫	銚
铬	鉻
铭	銘
铮	錚
铯	銫
铰	鉸
铱	銥
铲	鏟 剷
铳	銃
铴	鐋
铵	銨
银	銀
铷	銣
铸	鑄
铹	鐒
铺	鋪
铻	鋙
铼	錸
铽	鋱
链	鏈 鍊
铿	鏗
销	銷
锁	鎖
锂	鋰
锃	鋥
锄	鋤
锅	鍋
锆	鋯
锇	鋨
锈	鏽
锉	銼
锊	鋝
锋	鋒
锌	鋅
锍	鋶
锎	鐦
锏	鐧
锐	銳
锑	銻
锒	鋃
锓	鋟
锔	鋦
锕	錒
锖	錆
锗	鍺
锘	鍩
错	錯
锚	錨
锛	錛
锜	錡
锝	鍀
锞	錁
锟	錕
锠	錩
锡	錫
锢	錮
锣	鑼
锤	錘
锥	錐
锦	錦
锧	鑕
锨	杴
锩	錈
锪	鍃
锫	錇
锬	錟
锭	錠
键	鍵
锯	鋸
锰	錳
锱	錙
锲	鍥
锳	鍈
锴	鍇
锵	鏘
锶	鍶
锷	鍔
锸	鍤
锹	鍬
锺	鍾
锻	鍛
锼	鎪
锽	鍠
锾	鍰
锿	鎄
镀	鍍
镁	鎂
镂	鏤
镃	鎡
镄	鐨
镅	鎇
镆	鏌
镇	鎮
镈	鎛
镉	鎘
镊	鑷
镋	鎲
镌	鐫
镍	鎳
镎	鎿
镏	鎦
镐	鎬
镑	鎊
镒	鎰
镓	鎵
镔	鑌
镕	鎔
镖	鏢
镗	鏜
镘	鏝
镙	鏍
镚	鏰
镛	鏞
镜	鏡
镝	鏑
镞	鏃
镟	鏇
镠	鏐
镡	鐔
镢	钁
镣	鐐
镤	鏷
镥	鑥
镦	鐓
镧	鑭
镨	鐠
镩	鑹
镪	鏹
镫	鐙
镬	鑊
镭	鐳
镮	鐶
镯	鐲
镰	鐮 鎌
镱	鐿
镲	鑔
镳	鑣
镴	鑞
镵	鑱
