便于	便於
便当	便當
便药	便藥
便辟	便辟
便面	便面
便须	便須
促发	促發
俄占	俄佔
俊刮	俊刮
俊杰	俊傑
俊游	俊遊
俘获	俘獲
俚曲	俚曲
保准	保准
保险柜	保險柜
信个	信個
信托	信託
信据	信據
信汇	信匯
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俪采	儷采
俭	儉
俭仆	儉僕
俭朴	儉樸
俭确之教	儉确之教
修业	修業
修习	修習
修书	修書
修仙	修仙
修修	修修
修养	修養
修函	修函
修到	修到
修剪	修剪
修史	修史
修名	脩名
修和	修和
修墓	修墓
修士	修士
修复	修復
修女	修女
修好	修好
修学	修學
修定	修定
修宪	修憲
修容	修容
修己	修己
修建	修建
修得	修得
修成	修成
修护	修護
修持	修持
修撰	修撰
修改	修改
修敬	脩敬
修整	修整
修文	修文
修斋	修齋
修明	修明
修杰楷	修杰楷
修枝	修枝
修樾	脩樾
修正	修正
修水	修水
修治	修治
修润	脩潤
修濬	修濬
修炼	修煉
修版	修版
修理	修理
修的	修的
修盖	修蓋
修省	修省
修眉	修眉
修睦	修睦
修短	修短
修竹	修竹
修筑	修築
修练	修練
修缮	修繕
修罗	修羅
修耕	修耕
修胡刀	修鬍刀
修脚	修腳
修脯	脩脯
修葺	修葺
修行	修行
修补	修補
修褉	修褉
修订	修訂
修课	修課
修谱	修譜
修起	修起
修路	修路
修蹄	修蹄
修身	修身
修辞	修辭
修边	修邊
修造	修造
修道	修道
修配	修配
修金	脩金
修链	修鍊
修长	修長
修阻	修阻
修面	修面
修饰	修飾
修齐	修齊
修龄	修齡
俯冲	俯衝
俯曲	俯曲
俱发	俱發
倒了	倒了
倒价	倒價
倒出	倒出
倒台	倒臺
倒吊	倒吊
倒向	倒向
倒回	倒回
倒彩	倒彩
倒挂	倒掛
倒板	倒板
倒绷孩儿	倒繃孩兒
候虫	候蟲
倚托	倚托
倛丑	倛醜
借个	借個
借主	借主
借书	借書
借了	借了
借人	借人
借代	借代
借令	借令
借以	藉以
借位	借位
借住	借住
借作	借作
借使	借使
借借	藉藉
借债	借債
借光	借光
借典	借典
借出	借出
借到	借到
借券	借券
借助	藉助
借势	借勢
